team_id,season_year,defense_int,fumbles_rcv,takeaways,passing_ints,fumbles_lost,giveaways,passing_tds,passing_yds,rushing_tds,rushing_yds,home_wins,away_wins,ties,total_wins
DEN,2011,9,12,21,14,16,30,20,2708,11,2638,3,5,0,8
DEN,2012,16,6,22,11,14,25,37,4679,12,1833,7,6,0,13
DEN,2013,17,9,26,10,16,26,55,5572,16,1873,7,6,0,13
DEN,2014,18,11,29,15,5,20,40,4779,15,1785,8,4,0,12
DEN,2015,14,8,22,23,8,31,19,4216,13,1718,6,6,0,12
DEN,2016,14,9,23,11,13,24,20,3914,11,1484,5,4,0,9
DEN,2017,6,7,13,15,9,24,15,2525,5,1216,4,1,0,5
DET,2009,9,14,23,32,9,41,16,3471,9,1616,2,0,0,2
DET,2010,14,10,24,16,9,25,26,4001,11,1613,4,2,0,6
DET,2011,21,11,32,16,7,23,41,5071,9,1523,5,5,0,10
DET,2012,11,4,15,17,16,33,22,5137,17,1614,2,2,0,4
DET,2013,15,11,26,19,15,34,29,4647,15,1797,4,3,0,7
DET,2014,20,12,32,12,8,20,22,4274,11,1422,7,4,0,11
DET,2015,9,6,15,14,11,25,33,4459,7,1336,4,3,0,7
DET,2016,10,3,13,10,5,15,24,4327,9,1310,6,3,0,9
DET,2017,11,6,17,6,7,13,19,2711,4,796,4,5,0,9
GB,2009,30,13,43,8,8,16,30,4492,20,1873,6,5,0,11
GB,2010,24,9,33,13,9,22,31,4355,11,1606,7,3,0,10
GB,2011,31,5,36,8,6,14,51,5155,12,1564,8,7,0,15
GB,2012,18,8,26,8,8,16,40,4350,9,1694,7,4,0,11
GB,2013,11,9,20,16,9,25,25,4538,17,2137,4,4,1,8.5
GB,2014,18,12,30,6,7,13,38,4447,14,1917,8,4,0,12
GB,2015,16,13,29,8,9,17,31,3825,8,1850,5,5,0,10
GB,2016,17,10,27,8,9,17,40,4445,11,1669,6,4,0,10
GB,2017,8,4,12,7,2,9,18,2331,10,1029,4,3,0,7
HOU,2009,14,8,22,17,11,28,29,4803,13,1475,4,5,0,9
HOU,2010,13,10,23,12,6,18,24,4369,20,2042,4,2,0,6
HOU,2011,17,9,26,9,11,20,20,3696,18,2448,5,5,0,10
HOU,2012,15,7,22,13,4,17,22,4046,19,2111,6,6,0,12
